text,Sentiment,cleaned_text,spacy_processed
I'm feeling neutral about this.,,im feeling neutral,feel neutral
I love this product! It's amazing. ğŸ˜Š,,love product amazing ğŸ˜Š,love product amazing ğŸ˜Š
I'm very disappointed with the quality.,,im disappointed quality,disappointed quality
Everything was perfect, just as expected!,everything perfect,perfect
Not satisfied with the response time.,,satisfied response time,satisfied response time
Worst experience ever. Never coming back.,,worst experience ever never coming back,bad experience come
It could be better, but it's not bad.,could better,well
The movie was okay, nothing special.,movie okay,movie okay
Absolutely loved the concert last night!,,absolutely loved concert last night,absolutely love concert night
I don't know what to think about this.,,dont know think,know think
Great job on the new update! ğŸ‘,,great job new update ğŸ‘,great job new update ğŸ‘
What a wonderful day!,,wonderful day,wonderful day
I hate the service. It was terrible! ğŸ˜¡,,hate service terrible ğŸ˜¡,hate service terrible ğŸ˜¡
The customer support was not helpful at all.,,customer support helpful,customer support helpful
Fantastic work! Keep it up!,,fantastic work keep,fantastic work
